t,repeatability,bigint_repeatability,contributionS,thisS
110,2691419471,2691419471 (e0),3680868702543201 (e0),109014316995687939 (e0)
111,2685619000,2685619000 (e0),3773101330432000 (e0),112787418326119939 (e0)
112,2679826869,2679826869 (e0),3866714149799493 (e0),116654132475919432 (e0)
113,2674043072,2674043072 (e0),3961712469063168 (e0),120615844944982600 (e0)
114,2668267603,2668267603 (e0),4058101490712625 (e0),124673946435695225 (e0)
115,2662500456,2662500456 (e0),4155886311768576 (e0),128829832747463801 (e0)
116,2656741625,2656741625 (e0),4255071924241125 (e0),133084904671704926 (e0)
117,2650991104,2650991104 (e0),4355663215587328 (e0),137440567887292254 (e0)
118,2645248887,2645248887 (e0),4457664969168033 (e0),141898232856460287 (e0)
119,2639514968,2639514968 (e0),4561081864704000 (e0),146459314721164287 (e0)
120,2633789341,2633789341 (e0),4665918478731301 (e0),151125233199895588 (e0)
121,2628072000,2628072000 (e0),4772179285056000 (e0),155897412484951588 (e0)
122,2622362939,2622362939 (e0),4879868655208113 (e0),160777281140159701 (e0)
123,2616662152,2616662152 (e0),4988990858894848 (e0),165766271999054549 (e0)
124,2610969633,2610969633 (e0),5099550064453125 (e0),170865822063507674 (e0)
125,2605285376,2605285376 (e0),5211550339301376 (e0),176077372402809050 (e0)
126,2599609375,2599609375 (e0),5324995650390625 (e0),181402368053199675 (e0)
127,2593941624,2593941624 (e0),5439889864654848 (e0),186842257917854523 (e0)
128,2588282117,2588282117 (e0),5556236749460613 (e0),192398494667315136 (e0)
129,2582630848,2582630848 (e0),5674039973056000 (e0),198072534640371136 (e0)
130,2576987811,2576987811 (e0),5793303105018801 (e0),203865837745389937 (e0)
131,2571353000,2571353000 (e0),5914029616704000 (e0),209779867362093937 (e0)
132,2565726409,2565726409 (e0),6036222881690533 (e0),215816090243784470 (e0)
133,2560108032,2560108032 (e0),6159886176227328 (e0),221975976420011798 (e0)
134,2554497863,2554497863 (e0),6285022679678625 (e0),228260999099690423 (e0)
135,2548895896,2548895896 (e0),6411635474968576 (e0),234672634574658999 (e0)
136,2543302125,2543302125 (e0),6539727549025125 (e0),241212362123684124 (e0)
137,2537716544,2537716544 (e0),6669301793223168 (e0),247881663916907292 (e0)
138,2532139147,2532139147 (e0),6800361003826993 (e0),254682024920734285 (e0)
139,2526569928,2526569928 (e0),6932907882432000 (e0),261614932803166285 (e0)
140,2521008881,2521008881 (e0),7066945036405701 (e0),268681877839571986 (e0)
